"Headline","Bias","Reliability"
"Build Back Better for Whom? How Neoliberalism (Re)creates Disaster Risks","-17","39.33"
"What Rights Do We Have On Social Media?","-7","41.33"
"The “Long Sustained Electoral Scream” Roundtable","-14.2","26.2"
"The 2020 Election Result Completely Discredits The Democratic Leadership","-22.67","33.83"
"A Series of Tubes: Reclaiming the Physical Internet","-15.33","40.67"
"Your Oppression Was Predictable","-12","32.75"
"The Past and Future of the Socialist Sunday School","-19.67","34.67"
"Enduring the Bureaucracy","-26.33","22.67"
"Is Socialism Evil? <U+2767> Current Affairs","-26.5","29.5"
"Why “Crime” Isn’t the Question and Police Aren’t the Answer","-13","47"
"“Mythic Quest” and the Pursuit of Anti-Capitalist Media","-7.33","42.33"
"Rhiana Gunn-Wright on Insurgent Left Policy-Making","-11.83","39.67"
"Veticare for All? It’s Possible!","-18.83","33.83"
"The Rot Of The St. Louis Elite Goes Far Deeper Than The “Gun Couple”","-20","29.83"
"Why Libertarians Oppose Civil Rights","-20.67","35.33"
"In Defense of Litmus Tests","-21.67","34.17"
"AZ Senate Ditches Insane Election Audit Measure After DOJ Steps In","-3.67","42.33"
"Vimeo Deletes Trump Ally Mike Lindell’s MyPillow Account","-4.67","44.33"
"Fugitive QAnon Fan Runs Up $10,000 Diner Tab—and Bails","-2","37.33"
"Jim Acosta Lays Into ‘Bulls**t Factory’ Fox News and New York Post","-13.67","28"
"I Was a Teenage Dittohead. Then Rush Changed—or Was It Me?","11.67","33"
"Lincoln Project Sinks Deeper Into Turmoil as Ex-Staffers Demand to Speak Freely","0","43"
"Deadly COVID Mutations Can’t Stop the Party in Florida","-8","41"
"Republicans Come Crawling Back to Trump Three Weeks After Capitol Riot","-20.67","34"
"Chicago Teachers Union Votes Down Resuming In-Person Classes","1.67","40.33"
"‘I’m About to Puke’: QAnon in Chaos as Biden Takes Office","-6","42"
"Trump Revokes His Own Swamp-Draining Lobbying Ban for Former Aides","-15.67","35"
"MyPillow Guy Presents Trump With ‘China’ Election-Fraud Theory, Lawyers Send Him Packing","-9.67","41.67"
"Politico Faces Internal Backlash for Handing Playbook Over to Right-Wing Bomb-Thrower Ben Shapiro","-10.33","41.33"
"Two Cops, Including a Trained Sniper, Arrested for Taking Part in Capitol Insurrection","-5.33","48"
"Newsmax CEO Chris Ruddy Claims Network Doesn’t Spread Pro-Trump Lies—Despite All Evidence","-12","38.33"
"Loeffler’s Husband Entangled in Secret Gov’t Surveillance Operation","-9.33","40"
"McConnell Smacks Down Trump-Fueled 'Death Spiral' to Overturn Election","-6","42.43"
"Trump Files Pointless Lawsuit in New Mexico as Electoral College Votes","-17.75","26.75"
"The Amy Coney Barrett Sham Senate Confirmation Is Done. Now, Her Supreme Court Horror Show Begins.","-22.88","28.25"
"Read Ghislaine Maxwell’s Just-Unsealed Deposition","0","45.67"
"Stephen Colbert Brutally Mocks ‘Clearly Hammered’ Donald Trump Jr.","-12.67","33.33"
"Trump Team Knew of Hicks’ Positive Test—but Went Ahead With Golf Club Fundraiser","-7.67","46.67"
"Kamala Harris’ A.G. Office Tried to Keep Inmates Locked Up for Cheap Labor","-11","41.67"
"Trump: Megyn Kelly Has ‘Blood Coming Out of Her Wherever’","-16.33","49.67"
"Tucker Carlson Accuses Black Lives Matter of Lying About Breonna Taylor's Death, Gets Major Fact Wrong","-12","38"
"Nearly 20% Of American Renters Are Behind On Payments, Analysis Shows","0","46.33"
"McConnell Says There Are Now ‘Assurances’ Democrats Will Not Abolish The Filibuster","6.67","43.33"
"Capitol Hill Chaos: Daily Caller Reporters Explain What Really Happened","0","50.33"
"Daily Caller News Foundation Forces Government To Release Fauci, China, WHO Emails","11","47.33"
"Second Debate Moderator Steve Scully Interned For Joe Biden","6.67","46.33"
"Report On Rising Far-Left Extremism Raises Concerns Of Possible ‘Mass-Casualty Event’","11.33","39.67"
"HBO Writer’s Racial Slur-Filled Tweets Removed By Twitter","14.33","41.67"
"Wildfires Will Become Worse Thanks To Decades-Old Liberal Policies, Says Fire Expert Who Predicted Uptick In Blazes","12.6","35.6"
"Fans Boo Major League Soccer Team For Kneeling During The National Anthem","-4.5","48.5"
"Tennessee Legislature Passes Bill To Crack Down On Protests","5.5","49"
"Democratic Rep. Ro Khanna Says He’ll Vote Against Democratic Party Platform Because It Doesn’t Include ‘Medicare For All’","-21.5","42.5"
"Chicago Police Launch New Page On Website To Apprehend Recent Looters","8","48.33"
"Trump Takes Swipe At FBI Chief Over Handling Of Russia Probe Documents","6","37"
"Disagreement About Jeff Bezos Leads To Awkward Handoff Between Tucker Carlson And Sean Hannity","10.11","31.11"
"Senior FBI Intel Analyst Admitted To Viewing Porn Of Girls As Young As 9 Years Old","1.67","54.67"
"Poll: Large Plurality Of Americans Say Cancel Culture Has Gone Too Far","5.33","40.5"
"Family Sues Notre Dame After Fall At On-Campus Party Leaves Son Unable To Walk Or Talk","0.67","48.67"
"EXCLUSIVE: Congress, White House Unlikely To Deliver Phase 4 Stimulus Before Recess, Sources Say","17.33","37.33"
"The Media Have Their Mueller Report Narrative Ready To Go","25.33","13"
"Newspapers Encouraging Locals To Flee To The US, Illegal Migrants Claim","13.5","30.17"
"GOP Senators Really Want To See A ‘Highly Classified’ FBI Memo About The Hillary Clinton Investigation","21.5","25.5"
"Attorney General Bill Barr Cracks Down On Catch-And-Release For Asylum Seekers","16.67","36"
"Mitch McConnell Trolls Democrats, Merrick Garland With 404 Page","19.5","23"
"Biden Frets He Won’t Raise As Much As Beto, Bernie","7.5","44"
"Elite New York City School Accepts Less Than 1 Percent Of Black Students","6.86","39"
"‘Pastor Parler’: Capitol rioter identified as a youth pastor after video goes viral","-8","34.67"
"Nick Fuentes appeals to Trump: ‘I demand a complete and total pardon of Baked Alaska’","-2.67","33.67"
"Trump drops lazily plagiarized rebuttal to New York Times’ ‘1619 Project’","-18","27"
"TikTok Personality Shares Conspiracy Theory About MLK's Death","-4.33","24.33"
"Video: ‘Joann’s Karen’ goes on anti-mask rant in fabric store","-5","41"
"Parler Partially Reappears with Assist from Russian Tech Company","-1.33","45.67"
"Prince Andrew accused of seeking help from Twitter user to discredit his accuser","-0.67","42.33"
"Baker stops deportation of migrant after posting hunger strike online, getting hospitalized","-4.33","45.67"
"Charlie Kirk makes up story about deleting Twitter","-9","27.33"
"Why the Stop Internet Sexual Exploitation Act could be the end of internet porn","-18","31"
"Far-right troll Jack Posobiec suggests alternative to vaccines: vaccines","-5.67","30.67"
"New York issues 2-year moratorium on facial recognition in schools","-1.33","45.17"
"School principal wrote anti-BLM comments and coronavirus conspiracy theories on Facebook","-2.33","47.33"
"Warner Bros. Games head says J.K. Rowling has the right to her transphobic ‘opinions’","-22.67","37"
"8chan, the Central Hive of Gamergate, Is an Active Pedophile nNetwork","-3.33","42"
"Chair of Louisiana Education Committee ousted after 'good slavery' comment in hearing","-16.25","32.75"
"Reps. Moore and Davids lead bipartisan resolution addressing violence against Native women","-2.67","47.67"
"Missouri's three Republican Senate candidates are leading the race to be worse than Trump","-19","27"
"State Department ends policy that denied citizenship to children born abroad to same-sex couples","-8.67","43.33"
"Ted Cruz floated flat-out lies about Kristen Clarke. Welp, Senate Democrats aren't bothered","-9.67","41"
"Marjorie Taylor Greene throws slurs against those with disabilities.","-8","30.67"
"Trump's anger said to be off the charts after he loses the 2022 PGA Championship","-19.33","29.33"
"Buoyed by Capitol insurrection, Trump’s far-right cult summons tide of violence in coming weeks","-12","41.67"
"Corporate America is moving fast to isolate, defund insurrectionist Republicans","-4.33","42.67"
"Michigan AG announces felony charges for conservative fraudsters trying to suppress the vote","-23.67","31.33"
"Republicans built a massive voter suppression system. Trump's trying to use it to steal the election","-20.67","31"
"Thursday Night Owls: An inaccurate census would be bad news for American Indians","-2.67","46.67"
"We can flip the Michigan Supreme Court by winning this one race in November","-24","32.67"
"The big dark money donor behind Susan Collins just got arrested for defrauding Collins' PPP program","-15.33","26.33"
"Lol! This has to be the stupidest, most ridiculous White House lie yet","-24","25.25"
"HAH! Trump Threatens to Ditch GOP Convention in North Carolina, the ONLY STATE that Wanted It.","-26","24.8"
"Trump has finally found a doctor who is willing to assist in spreading pandemic propaganda","-19.83","31.33"
"Daily Kos endorses Joe Biden and Kamala Harris","-15.5","29"
"Trump calls off COVID-19 relief negotiations with Democrats","-23","28"
"Harris selection could majorly boost Biden among Latino voters, polling firm says","-11.33","42"
"Trump tweets COVID-19 video so outrageous it was banned from Facebook and Twitter","-19.37","30.63"
"Kentucky voters reject every McConnell stance on COVID-19 relief","-17.33","35.33"
"DHS actions in Portland are making things worse, by design","-20.67","26"
"Thanks to Trump's slide, we're moving seven races in the Democrats' direction","-8.33","47.67"
"Southern Poverty Law Center adds White House aide Stephen Miller to 'Extremist File'","-24.22","37"
"AOC and Squad prepare resolution to block Biden selling $735 million worth of bombs to Israel","-8","44.33"
"Blinken and Lavrov hold first high-level talks between US and Russia of Biden's administration","0.75","41.75"
"Kamala Harris appears to have violated her own ethics pledge by keeping her assets hidden in a trust","6.75","35"
"NY Attorney General opens criminal tax probe into Trump Organization CFO Allen Weisselberg","-5","34.75"
"35 Republicans defy GOP leadership to vote for January 6 commission","1.25","41.25"
"USPS admits it is spying on Americans by monitoring their social media - but won't reveal details","2.33","46.33"
"How will Biden's climate plan affect everyday Americans","21.33","10"
"Biden's press secretary Jen Psaki shuts down ANOTHER Fox News reporter","7.67","32.67"
"Joe Biden increases vaccine target to 1.5m a day even though it was achieved on inauguration day","-0.67","45.67"
"Brazil's 'super-covid' arrives in the US","0","46.33"
"Trump impeachment trial: Biden says Democrats lack Senate votes","2.33","43.67"
"Lankford apologizes to black voters for trying to overturn the election","-1","48.67"
"More infectious UK 'super-covid' variant could be dominant in the US by MARCH","0","51.33"
"Pelosi says Republicans who 'aided' Capitol riots risk prosecution","-1.67","40.83"
"Retired Air Force officer was carrying zip ties during Capitol siege","0","43.67"
"Marjorie Taylor Greene to file for impeachment against Joe Biden","23","28"
"Trump supporter yells f*** Black Lives Matter' at Starbucks barista, 19, who asks her to wear mask","-7.33","37.67"
"Joe Biden's furious answer when he is FINALLY asked about his son Hunter's Ukraine emails","9.67","29.67"
"50 Cent doesn't 'care Trump doesn't like black people' as he endorses president over taxes","1.67","25"
"Byron Bay: Bryde's whales swim with surfers on incredible drone footage on Seven Mile Beach","0","41.67"
"Republican operatives Jacob Wohl and Jack Burkman are charged with voter suppression robocall scheme","3","43.67"
"Mail Online Videos: Top News & Viral Videos, Clips & Footage","1.83","46.83"
"Leader of Proud Boys is state director of Latinos for Trump","-11.12","35.75"
"Trump treated for COVID with Regeneron 'antibody cocktail'","-7.33","40.33"
"Bacterial outbreak infects over 3,000 people in China after it leaked from a vaccine lab","0","49.67"
"Democrats Keep These Inconvenient Facts From Constituents","15.67","30.67"
"Pro-Biden Press Corps Is Deeply Embarrassing","14.33","36.67"
"The Left Wants to Transform and Nationalize Our Election System","23.33","25.33"
"What You Can Do Even Though the March for Life Is Virtual","14.67","32.33"
"Rep. Ted Budd Fights to Preserve 1776 Commission","14","31.67"
"Minnesota Law School Students Aim to ‘Cancel’ Alumna Rep. Fischbach","7","42"
"Here’s What Might Happen If Senate Opts to Hold 2nd Impeachment Trial","11.67","33.33"
"Politico Staff Revolts After Ben Shapiro Authors Newsletter","3.33","43.33"
"The Danger of Vindictiveness in Washington","20","26.33"
"Conservatives Keep Missing Opportunities to Really Engage With Blacks","7.67","42"
"Hong Kong Protests Were Nothing Like What Happened on Capitol Hill","5.67","38"
"Conservative Women Have a New Champion in Amy Coney Barrett","12.67","32"
"After Losing Her In-Laws to COVID-19, Janice Dean Calls for Investigation","9.33","36"
"Why Reagan’s Call to Conservatism Needs to Be Heard Again Today","23","28"
"The Racism of the ‘Anti-Racist’ Movement","21.33","34"
